midiName=midi\三輪車_不詳.mid	songName=三輪車_不詳	language=	singer=	sex= 	album= 	start=0	size=64	refrain= 
midiName=midi\世上只有媽媽好_不詳.mid	songName=世上只有媽媽好_不詳	language=	singer=	sex= 	album= 	start=65	size=66	refrain= 
midiName=midi\倫敦鐵橋垮下來_不詳.mid	songName=倫敦鐵橋垮下來_不詳	language=	singer=	sex= 	album= 	start=132	size=50	refrain= 
midiName=midi\兩隻老虎_不詳.mid	songName=兩隻老虎_不詳	language=	singer=	sex= 	album= 	start=183	size=70	refrain= 
midiName=midi\十個印第安人_不詳.mid	songName=十個印第安人_不詳	language=	singer=	sex= 	album= 	start=254	size=86	refrain= 
midiName=midi\只要我長大_不詳.mid	songName=只要我長大_不詳	language=	singer=	sex= 	album= 	start=341	size=100	refrain= 
midiName=midi\喔，蘇珊娜_不詳.mid	songName=喔，蘇珊娜_不詳	language=	singer=	sex= 	album= 	start=442	size=60	refrain= 
midiName=midi\小星星_不詳.mid	songName=小星星_不詳	language=	singer=	sex= 	album= 	start=503	size=84	refrain= 
midiName=midi\小毛驢_不詳.mid	songName=小毛驢_不詳	language=	singer=	sex= 	album= 	start=588	size=116	refrain= 
midiName=midi\小茶壺_不詳.mid	songName=小茶壺_不詳	language=	singer=	sex= 	album= 	start=705	size=56	refrain= 
midiName=midi\懶惰蟲_不詳.mid	songName=懶惰蟲_不詳	language=	singer=	sex= 	album= 	start=762	size=134	refrain= 
midiName=midi\捉泥鰍_不詳.mid	songName=捉泥鰍_不詳	language=	singer=	sex= 	album= 	start=897	size=734	refrain= 
midiName=midi\捕魚歌_不詳.mid	songName=捕魚歌_不詳	language=	singer=	sex= 	album= 	start=1632	size=74	refrain= 
midiName=midi\明天會更好_不詳.mid	songName=明天會更好_不詳	language=	singer=	sex= 	album= 	start=1707	size=1232	refrain= 
midiName=midi\歡樂年華_不詳.mid	songName=歡樂年華_不詳	language=	singer=	sex= 	album= 	start=2940	size=122	refrain= 
midiName=midi\泥娃娃_不詳.mid	songName=泥娃娃_不詳	language=	singer=	sex= 	album= 	start=3063	size=118	refrain= 
midiName=midi\潑水歌_不詳.mid	songName=潑水歌_不詳	language=	singer=	sex= 	album= 	start=3182	size=132	refrain= 
midiName=midi\火車快飛_不詳.mid	songName=火車快飛_不詳	language=	singer=	sex= 	album= 	start=3315	size=78	refrain= 
midiName=midi\王老先生有塊地_不詳.mid	songName=王老先生有塊地_不詳	language=	singer=	sex= 	album= 	start=3394	size=104	refrain= 
midiName=midi\甜蜜的家庭_不詳.mid	songName=甜蜜的家庭_不詳	language=	singer=	sex= 	album= 	start=3499	size=168	refrain= 
